timestamp_ms,pressure_pa,temp_c,altitude_m,servo_state,event,time_s
3013,83200.56,27.7,8.29,0,flight,3.01
3065,83192.53,27.66,8.96,0,flight,3.07
3117,83184.76,27.62,9.6,0,flight,3.12
3169,83177.24,27.59,10.23,0,flight,3.17
3221,83169.99,27.55,10.83,0,flight,3.22
3273,83162.99,27.51,11.42,0,flight,3.27
3325,83156.25,27.48,11.98,0,flight,3.33
3377,83149.77,27.45,12.52,0,flight,3.38
3429,83143.55,27.42,13.04,0,flight,3.43
3481,83137.59,27.39,13.53,0,flight,3.48
3532,83131.89,27.36,14.01,0,flight,3.53
3584,83126.45,27.33,14.46,0,flight,3.58
3636,83121.27,27.31,14.89,0,flight,3.64
3688,83116.34,27.28,15.3,0,flight,3.69
3740,83111.68,27.26,15.69,0,flight,3.74
3792,83107.28,27.24,16.06,0,flight,3.79
3844,83103.13,27.22,16.41,0,flight,3.84
3896,83099.24,27.2,16.73,0,flight,3.9
3948,83095.61,27.18,17.03,0,flight,3.95
4000,83092.25,27.16,17.31,0,flight,4.0
4052,83089.14,27.15,17.57,0,flight,4.05
4104,83086.28,27.13,17.81,0,flight,4.1
4156,83083.69,27.12,18.03,0,flight,4.16
4208,83081.36,27.11,18.22,0,flight,4.21
4260,83079.29,27.1,18.39,0,flight,4.26
4312,83077.47,27.09,18.54,0,flight,4.31
4364,83075.92,27.08,18.67,0,flight,4.36
4416,83074.62,27.07,18.78,0,flight,4.42
4468,83073.59,27.07,18.87,0,flight,4.47
4520,83072.81,27.06,18.93,0,flight,4.52
4572,83072.29,27.06,18.98,0,flight,4.57
4624,83072.03,27.06,19.0,0,flight,4.62
4675,83072.03,27.06,19.0,0,flight,4.68
4727,83072.29,27.06,18.98,0,flight,4.73
4779,83072.81,27.06,18.93,0,flight,4.78
4831,83073.59,27.07,18.87,0,flight,4.83
4883,83074.62,27.07,18.78,0,flight,4.88
4935,83075.92,27.08,18.67,0,flight,4.94
4987,83077.47,27.09,18.54,0,flight,4.99
5039,83079.29,27.1,18.39,0,flight,5.04
5091,83081.36,27.11,18.22,0,flight,5.09
5143,83083.69,27.12,18.03,0,flight,5.14
5195,83086.28,27.13,17.81,0,flight,5.2
5247,83089.14,27.15,17.57,0,flight,5.25
5299,83092.25,27.16,17.31,0,flight,5.3
5351,83095.61,27.18,17.03,0,flight,5.35
5403,83099.24,27.2,16.73,0,flight,5.4
5455,83103.13,27.22,16.41,0,flight,5.46
5507,83107.28,27.24,16.06,0,flight,5.51
5559,83111.68,27.26,15.69,0,flight,5.56
5611,83116.34,27.28,15.3,0,flight,5.61
5663,83121.27,27.31,14.89,0,flight,5.66
5715,83126.45,27.33,14.46,0,flight,5.72
5767,83131.89,27.36,14.01,0,flight,5.77
5818,83137.59,27.39,13.53,0,flight,5.82
5870,83143.55,27.42,13.04,0,flight,5.87
5922,83149.77,27.45,12.52,0,flight,5.92
5974,83156.25,27.48,11.98,0,flight,5.97
6026,83162.99,27.51,11.42,0,flight,6.03
6078,83169.99,27.55,10.83,0,flight,6.08
6130,83177.24,27.59,10.23,0,flight,6.13
6182,83184.76,27.62,9.6,0,flight,6.18
6234,83192.53,27.66,8.96,0,flight,6.23
6286,83200.56,27.7,8.29,0,flight,6.29
6338,83208.86,27.74,7.6,0,flight,6.34
6390,83217.41,27.79,6.88,0,flight,6.39
6442,83226.22,27.83,6.15,0,flight,6.44
6494,83235.29,27.88,5.39,0,flight,6.49
6546,83244.62,27.92,4.62,0,flight,6.55
6598,83254.21,27.97,3.82,0,flight,6.6
6650,83264.05,28.02,3.0,0,flight,6.65
6702,83274.16,28.07,2.15,0,flight,6.7
6754,83284.53,28.12,1.29,0,flight,6.75
6806,83295.15,28.18,0.4,0,flight,6.81
6858,83300.0,28.2,0.0,0,flight,6.86
6910,83300.0,28.2,0.0,0,flight,6.91
6962,83300.0,28.2,0.0,0,flight,6.96
7013,83300.0,28.2,0.0,0,flight,7.01
7065,83300.0,28.2,0.0,0,flight,7.07
7117,83300.0,28.2,0.0,0,flight,7.12
7169,83300.0,28.2,0.0,0,flight,7.17
7221,83300.0,28.2,0.0,0,flight,7.22
7273,83300.0,28.2,0.0,0,flight,7.27
7325,83300.0,28.2,0.0,0,flight,7.33
7377,83300.0,28.2,0.0,0,flight,7.38
7429,83300.0,28.2,0.0,0,flight,7.43
7481,83300.0,28.2,0.0,0,flight,7.48
7533,83300.0,28.2,0.0,0,flight,7.53
7585,83300.0,28.2,0.0,0,flight,7.59
7637,83300.0,28.2,0.0,0,flight,7.64
7689,83300.0,28.2,0.0,0,flight,7.69
7741,83300.0,28.2,0.0,0,flight,7.74
7793,83300.0,28.2,0.0,0,flight,7.79
7845,83300.0,28.2,0.0,0,flight,7.85
7897,83300.0,28.2,0.0,0,flight,7.9
7949,83300.0,28.2,0.0,0,flight,7.95
8001,83300.0,28.2,0.0,0,flight,8.0
8053,83300.0,28.2,0.0,0,flight,8.05
8105,83300.0,28.2,0.0,0,flight,8.11
8156,83300.0,28.2,0.0,0,flight,8.16
8208,83300.0,28.2,0.0,0,flight,8.21
8260,83300.0,28.2,0.0,0,flight,8.26
8312,83300.0,28.2,0.0,0,flight,8.31
8364,83300.0,28.2,0.0,0,flight,8.36
8416,83300.0,28.2,0.0,0,flight,8.42
8468,83300.0,28.2,0.0,0,flight,8.47
8520,83300.0,28.2,0.0,0,flight,8.52
8572,83300.0,28.2,0.0,0,flight,8.57
8624,83300.0,28.2,0.0,0,flight,8.62
8676,83300.0,28.2,0.0,0,flight,8.68
8728,83300.0,28.2,0.0,0,flight,8.73
8780,83300.0,28.2,0.0,0,flight,8.78
8832,83300.0,28.2,0.0,0,flight,8.83
8884,83300.0,28.2,0.0,0,flight,8.88
8936,83300.0,28.2,0.0,0,flight,8.94
8988,83300.0,28.2,0.0,0,flight,8.99
9040,83300.0,28.2,0.0,0,flight,9.04
9092,83300.0,28.2,0.0,0,flight,9.09
9144,83300.0,28.2,0.0,0,flight,9.14
9196,83300.0,28.2,0.0,0,flight,9.2
9248,83300.0,28.2,0.0,0,flight,9.25
9300,83300.0,28.2,0.0,0,flight,9.3
